iter,train_loss,val_loss,lr,tokens_per_sec,iter_ms
585,2.464512,,2.957367e-04,19583.2,1673.27
590,2.478075,,2.956259e-04,19531.5,1677.70
595,2.487682,,2.955136e-04,19540.0,1676.97
600,2.453319,,2.954000e-04,19563.4,1674.97
605,2.508231,,2.952849e-04,19644.5,1668.05
610,2.486128,,2.951685e-04,18907.6,1733.06
615,2.484201,,2.950507e-04,19291.1,1698.60
620,2.449051,,2.949315e-04,19675.6,1665.41
625,2.373033,,2.948108e-04,19670.4,1665.86
630,2.449107,,2.946888e-04,19595.0,1672.27
635,2.427193,,2.945654e-04,19269.1,1700.55
640,2.341886,,2.944407e-04,18291.2,1791.47
645,2.455613,,2.943145e-04,19635.8,1668.79
650,2.415792,,2.941869e-04,19630.4,1669.25
655,2.412363,,2.940580e-04,19631.0,1669.19
660,2.364918,,2.939277e-04,19625.2,1669.69
665,2.368230,,2.937960e-04,18244.2,1796.08
670,2.363864,,2.936629e-04,17851.9,1835.55
675,2.358701,,2.935285e-04,19633.7,1668.97
680,2.367252,,2.933926e-04,19443.7,1685.27
685,2.311048,,2.932554e-04,19075.2,1717.84
690,2.386693,,2.931168e-04,19572.3,1674.20
695,2.295532,,2.929769e-04,19321.8,1695.91
700,2.308647,,2.928356e-04,19643.8,1668.11
705,2.335188,,2.926929e-04,19653.6,1667.27
710,2.342386,,2.925488e-04,19650.7,1667.52
715,2.294156,,2.924034e-04,19606.3,1671.30
720,2.342077,,2.922566e-04,19313.5,1696.64
725,2.324088,,2.921084e-04,19667.9,1666.06
730,2.319522,,2.919589e-04,19579.3,1673.60
735,2.276936,,2.918081e-04,19341.0,1694.23
740,2.326887,,2.916558e-04,19679.3,1665.10
745,2.293765,,2.915022e-04,19296.5,1698.13
750,2.229876,2.242333,2.913473e-04,,
750,2.316931,,2.913473e-04,6233.7,5256.55
755,2.281727,,2.911910e-04,19595.4,1672.23
760,2.348824,,2.910334e-04,19664.9,1666.32
765,2.312303,,2.908744e-04,19528.5,1677.96
770,2.338723,,2.907140e-04,19648.2,1667.74
775,2.216739,,2.905523e-04,19657.4,1666.95
780,2.275002,,2.903893e-04,19684.9,1664.63
785,2.256935,,2.902249e-04,19665.0,1666.31
790,2.246271,,2.900592e-04,19679.2,1665.11
795,2.262687,,2.898921e-04,19564.1,1674.91
800,2.316655,,2.897237e-04,19308.0,1697.12
805,2.225208,,2.895540e-04,19646.2,1667.91
810,2.205785,,2.893829e-04,19660.0,1666.73
815,2.203263,,2.892105e-04,19531.5,1677.70
820,2.294235,,2.890368e-04,19640.7,1668.38
825,2.258829,,2.888618e-04,19137.9,1712.21
830,2.269189,,2.886854e-04,19378.2,1690.97
835,2.301278,,2.885077e-04,19185.9,1707.92
840,2.263126,,2.883286e-04,19661.0,1666.65
845,2.253340,,2.881483e-04,19455.6,1684.25
850,2.278406,,2.879666e-04,19290.0,1698.71
855,2.203226,,2.877836e-04,19354.3,1693.06
860,2.263786,,2.875993e-04,19675.4,1665.43
865,2.220232,,2.874137e-04,19588.8,1672.79
870,2.229706,,2.872268e-04,19569.2,1674.47
875,2.257400,,2.870386e-04,19167.7,1709.54
880,2.226367,,2.868490e-04,19711.2,1662.40
885,2.197223,,2.866582e-04,19720.5,1661.62
890,2.218306,,2.864660e-04,19697.1,1663.59
895,2.219298,,2.862726e-04,19677.4,1665.26
900,2.164384,,2.860778e-04,19724.2,1661.31
905,2.213481,,2.858818e-04,19726.7,1661.10
